"ogc_fid","trip_count","wkb_geometry"
57,210,"MULTIPOLYGON (((585451.9581430897 4511474.401220721, 585435.0718302933 4511441.31611375, 585413.2429278003 4511401.028845831, 585373.8104683103 4511332.085506893, 585336.4021160613 4511263.0608822, 585309.7045214414 4511213.466176587, 585299.1576383513 4511193.885735775, 585057.4216552116 4511323.612920037, 584816.4878793895 4511454.293392446, 584854.0733632557 4511523.737812413, 584892.4482815223 4511594.9072791785, 584928.0977198833 4511661.022159427, 584968.1127939081 4511735.625047949, 585076.1357958931 4511677.343923942, 585118.2708644419 4511654.610978431, 585209.5558351484 4511605.360379554, 585356.2898631452 4511525.879032463, 585437.704033636 4511481.779411018, 585451.9581430897 4511474.401220721)))"
954,203,"MULTIPOLYGON (((586405.1903969474 4513249.338815247, 586366.4565015652 4513173.482445437, 586325.6608810176 4513098.426383295, 586285.2566047723 4513022.538988951, 586247.7976902355 4512953.225473365, 586209.5826444352 4512883.064756502, 586066.0913294012 4512960.750447432, 586059.1712743007 4512964.541866361, 585969.0187274604 4513013.305239248, 585880.9957627249 4513061.034314552, 585727.0334482036 4513143.444363236, 585765.090037994 4513213.458309147, 585802.709760109 4513283.479358814, 585822.122341953 4513319.4248331655, 585843.1562282479 4513358.372435675, 585885.6374439981 4513433.525316667, 585906.5249667931 4513473.336324059, 585910.8028828556 4513471.53866112, 585915.2573642189 4513470.238755727, 585919.8307054071 4513469.453447484, 585924.4636966803 4513469.1928201495, 585929.096294828 4513469.460345056, 585933.6684864849 4513470.252556546, 585938.701222085 4513472.017422222, 585943.4769649969 4513474.391334337, 585947.9223437471 4513477.3378216475, 585951.9690721438 4513480.81157923, 585955.5549736908 4513484.759276413, 585958.6249568732 4513489.120263305, 586163.7126582251 4513379.913731896, 586224.4875720565 4513347.05072313, 586405.1903969474 4513249.338815247)))"
12,199,"MULTIPOLYGON (((586145.2879308906 4508937.6646136055, 586123.5280334515 4508897.302470728, 586110.0264677315 4508872.258792282, 586093.9057589213 4508841.334152849, 586087.3302334442 4508828.720116035, 586074.9315177051 4508804.935510319, 586037.4076676767 4508737.353058778, 586002.6815217141 4508672.401734193, 585965.3713848426 4508604.3177792765, 585928.813895234 4508536.829616352, 585892.4636719673 4508469.056953369, 585695.1300302374 4508575.32875041, 585656.5230504719 4508596.029534452, 585643.0182152984 4508603.270858624, 585630.4570580148 4508610.005930862, 585623.7749087998 4508613.58893922, 585617.4876673041 4508616.960137618, 585609.2453734692 4508621.3794662, 585594.0915430919 4508629.504789649, 585583.0280477783 4508635.437013519, 585574.671340991 4508639.917698673, 585563.4323338775 4508645.94402459, 585507.7088056518 4508675.822417756, 585544.6729891438 4508744.80882409, 585581.1452886236 4508810.374391017, 585617.4784400938 4508879.644393438, 585652.6444475452 4508944.035437208, 585689.3967612751 4509013.102410436, 585725.483711591 4509078.355614814, 585753.0892677217 4509063.657012555, 585758.5450899639 4509060.752150643, 585810.6669160937 4509032.999921936, 585830.1436422497 4509022.629475047, 585912.4867649402 4508978.785826417, 585947.9651325489 4509044.1902164025, 586145.2879308906 4508937.6646136055)))"
43,161,"MULTIPOLYGON (((586243.8364878809 4511774.799375964, 586291.191629788 4511748.424068719, 586300.9554975745 4511743.135611451, 586268.7602922606 4511682.058353807, 586261.5872574613 4511668.604139884, 586228.3332934639 4511608.511220516, 586224.0423001101 4511600.525336665, 586187.0415348648 4511530.823316784, 586149.9637227121 4511462.091284621, 586112.633950223 4511393.107240268, 586075.5463640222 4511323.911445289, 586038.6497280943 4511255.076502321, 586030.8352992488 4511259.393463707, 585900.8742554579 4511329.098679649, 585764.5785960307 4511401.973851899, 585802.1724299138 4511471.425612528, 585839.1487586654 4511540.514251663, 585876.3685613456 4511609.416877473, 585913.4743390493 4511678.498050355, 585950.8721619139 4511747.746643707, 585988.1448233988 4511816.649405101, 586023.7501878408 4511882.938441222, 586028.1768297561 4511891.181161788, 586164.1411536285 4511817.211494088, 586207.9180914096 4511793.914381325, 586243.8364878809 4511774.799375964)))"
80,160,"MULTIPOLYGON (((586209.5826444352 4512883.064756502, 586171.9340776855 4512813.198347235, 586134.258474886 4512743.686586945, 586096.3471308853 4512673.983166797, 586058.8178216062 4512604.089082347, 585817.8289194043 4512733.9129449185, 585750.991883868 4512769.715474589, 585576.4828782666 4512863.940401856, 585614.2779064552 4512933.757572153, 585651.8960580267 4513004.003381549, 585689.7143607466 4513073.877642693, 585727.0334482036 4513143.444363236, 585880.9957627249 4513061.034314552, 585969.0187274604 4513013.305239248, 586059.1712743007 4512964.541866361, 586066.0913294012 4512960.750447432, 586209.5826444352 4512883.064756502)))"
32,159,"MULTIPOLYGON (((586045.3312107252 4510613.379117517, 586007.9530710193 4510544.23989561, 585970.7794823664 4510475.217883695, 585933.5948780495 4510406.110927856, 585895.8646268587 4510337.273425201, 585856.2822552788 4510262.80457766, 585816.1964074558 4510188.336760286, 585778.9393233828 4510119.102015458, 585702.537143965 4510160.491590947, 585676.6847805255 4510174.455948786, 585669.2590956006 4510178.467080949, 585643.6319026022 4510192.309797028, 585579.8422799993 4510226.625671874, 585543.4411990308 4510246.191115706, 585511.5994213143 4510263.168226088, 585505.365222579 4510266.654280397, 585527.3273594147 4510307.247733803, 585542.7675045684 4510335.785703184, 585583.1017877022 4510409.85652205, 585622.9656798093 4510484.501710279, 585660.2907320793 4510553.472190233, 585697.4842658981 4510622.581364985, 585734.8014347095 4510691.633930998, 585772.1290980648 4510760.641525748, 585777.7624706563 4510757.853460413, 585909.7461325901 4510686.989435564, 586045.3312107252 4510613.379117517)))"
977,158,"MULTIPOLYGON (((584184.5244840828 4511438.274960397, 584156.1788051112 4511385.721870881, 584153.4412045216 4511380.646312443, 584147.2854643625 4511369.233478248, 584109.7406753191 4511300.304302703, 584092.1095952 4511266.401449392, 584070.1640832154 4511225.699696871, 584030.273056539 4511151.171237281, 583992.5238590641 4511081.988013581, 583957.2209875195 4511016.395775739, 583922.0127812254 4510951.095645382, 583886.8671615768 4510885.741129656, 583851.5739300924 4510820.4409627905, 583841.6509974876 4510801.852865934, 583816.7146159565 4510754.333643531, 583778.4367739172 4510682.939349959, 583761.2923578563 4510653.237985431, 583756.264640773 4510643.356164702, 583741.4182475639 4510615.925043736, 583736.4069088552 4510606.665844128, 583694.3450129089 4510629.972026948, 583686.5789536131 4510631.374205597, 583677.9057333374 4510632.278067895, 583667.2963337181 4510638.0769785745, 583655.8090809078 4510644.465240302, 583660.5452051671 4510687.8126819525, 583647.985008155 4510689.155183189, 583647.9167633605 4510690.669013876, 583615.8355580283 4510694.535502225, 583619.8182425387 4510728.61245539, 583618.4425213753 4510729.233723041, 583404.1195759273 4510754.917084766, 583402.5917824447 4510756.600164581, 583401.640480958 4510759.628603563, 583406.1187654551 4510797.241442256, 583407.8647554787 4510800.020622073, 583411.911319117 4510801.984240997, 583415.565275498 4510801.557994142, 583624.05744326 4510775.101442769, 583626.0029612762 4510777.298070368, 583629.9361478781 4510807.936979259, 583633.6321580881 4510807.696847567, 583663.4108941525 4510804.164378425, 583675.398170068 4510802.52957945, 583682.9758203565 4510860.503874474, 583688.7856741903 4510907.0746342, 583688.5822851224 4510909.659677693, 583670.8268272054 4510912.532192795, 583617.1407031028 4510921.217731874, 583613.9369442523 4510921.736076214, 583618.1273533734 4510954.081881918, 583587.8310585722 4510958.006593116, 583586.3445048144 4510956.859973068, 583586.0665001646 4510954.594592946, 583585.6445731473 4510951.155762837, 583585.0979023434 4510946.699932713, 583584.476314154 4510941.633611633, 583583.7746686884 4510935.914930538, 583583.3178688607 4510932.192012906, 583582.71080416 4510927.243421516, 583582.1064447262 4510922.318574671, 583581.4063662817 4510916.612521629, 583582.3797852864 4510915.4139154535, 583592.3020497358 4510914.388255988, 583592.1021435601 4510912.452502673, 583567.0968226368 4510915.037885676, 583567.3444620369 4510917.438171503, 583576.7191336493 4510916.468133627, 583577.9970125613 4510917.506510677, 583579.1487748602 4510926.721739274, 583579.8899061612 4510932.651001447, 583580.3470762362 4510936.308771043, 583581.0316119252 4510941.785730786, 583581.557986942 4510945.997069204, 583582.2785588512 4510951.762091412, 583582.7250420853 4510955.334295582, 583582.995036813 4510957.494648981, 583581.5425206202 4510958.982720736, 583541.1032860967 4510964.086639137, 583539.4998610221 4510962.841675347, 583539.2285448071 4510960.557344872, 583538.8383091347 4510957.272094543, 583538.3452711334 4510953.120504218, 583537.6983531399 4510947.673657463, 583536.9952100366 4510941.753421274, 583536.5338701397 4510937.869068906, 583536.3127009813 4510936.007171873, 583534.7115091588 4510922.524997584, 583536.2915716177 4510921.424289277, 583546.0018609224 4510920.490195776, 583545.8231235928 4510918.6276290165, 583516.6753217475 4510921.43073944, 583516.8745964278 4510923.508432683, 583530.0057678507 4510922.245388606, 583531.7182476879 4510923.311630972, 583533.0724336659 4510936.370356494, 583533.4000978041 4510939.530317898, 583534.4007539419 4510949.180435271, 583535.2222928059 4510957.102545254, 583535.6827991607 4510961.543258046, 583535.8861368907 4510963.504289103, 583534.6798534368 4510964.610297345, 583487.4672946257 4510970.243817688, 583486.4142848878 4510968.950146377, 583485.7763496193 4510962.46349641, 583485.3604290748 4510958.624820186, 583484.689662375 4510952.43564025, 583484.1857808463 4510947.786180996, 583483.3585736209 4510940.152644832, 583482.9867802942 4510936.72115667, 583482.1686039271 4510929.171586249, 583483.7462440254 4510928.121867503, 583493.0824259586 4510927.374449273, 583492.951100214 4510925.735294426, 583463.9499875322 4510928.395095864, 583464.1020145535 4510930.0505187875, 583477.2285142952 4510928.846417967, 583478.7584012779 4510939.407720235, 583479.1445240544 4510942.072851952, 583480.5355890054 4510951.675804096, 583481.094891443 4510955.537130685, 583482.2135496901 4510963.259989099, 583483.1974777897 4510970.0522564035, 583482.0902297274 4510971.591242497, 583433.6830250471 4510977.65910631, 583429.4377402513 4510937.060711881, 583430.5212053806 4510934.884588813, 583440.1322684998 4510934.146272965, 583440.0081951321 4510932.662316378, 583425.999268767 4510933.83532783, 583430.7217567211 4510978.172903259, 583431.0524228542 4510981.278291686, 583431.350460368 4510984.07893613, 583429.9360693217 4510986.682245696, 583434.8982072545 4511024.293536338, 583435.5249243926 4511026.678016513, 583438.2358620953 4511028.72942148, 583441.9808355522 4511028.653130028, 583533.2324264037 4511017.769723257, 583533.5231229785 4511021.301206026, 583569.3024876291 4511016.637055867, 583569.3213364617 4511014.982668001, 583584.6754460518 4511012.6222248785, 583584.5819335538 4511010.473627975, 583625.5218910315 4511005.3814432565, 583626.4111245195 4511012.866506104, 583627.2374131829 4511019.821524767, 583627.7023203862 4511023.735546844, 583628.5648610799 4511030.995592756, 583628.983511256 4511034.519569328, 583629.8741750178 4511042.017816721, 583630.3290236178 4511045.8466339195, 583631.1680483846 4511052.908091063, 583631.5875929233 4511056.44007545, 583631.958785942 4511059.565065353, 583632.2708209055 4511062.191691034, 583633.2538652546 4511070.466996548, 583449.7444291451 4511094.171967349, 583446.8592322909 4511095.438140642, 583444.8556942727 4511097.863961839, 583445.0559619316 4511100.815929815, 583449.3092890927 4511138.4725272935, 583451.0804285705 4511140.466058372, 583453.4452073865 4511141.15717105, 583456.727797776 4511140.716335805, 583642.8901758944 4511118.0027845, 583651.0728229629 4511184.371731369, 583615.2977939579 4511188.7459437605, 583615.2697995587 4511187.072980929, 583614.7108829595 4511187.082645196, 583614.6801460201 4511185.217802595, 583616.1890672956 4511185.192942294, 583616.1308061724 4511181.710176616, 583581.2750852816 4511185.586943086, 583581.6940951812 4511189.351854948, 583586.063550355 4511188.865746216, 583586.4553898405 4511192.382293912, 583463.412666931 4511208.08526002, 583460.1795359082 4511210.1009317115, 583459.145002262 4511212.270618788, 583463.7619679163 4511250.6977523165, 583465.0136413163 4511253.417365277, 583467.3780877548 4511254.997915132, 583470.5380392531 4511254.938840867, 583657.1987153075 4511231.722902695, 583665.9040956418 4511301.348021778, 583663.1070836037 4511301.407083636, 583663.122881156 4511300.020578959, 583655.3586659769 4511300.992926879, 583655.1324040114 4511299.357748446, 583626.283486296 4511302.86512763, 583626.193204279 4511303.67990628, 583617.1216626813 4511304.801178403, 583617.4732127596 4511307.645472137, 583478.1263428801 4511325.1150721, 583475.7603108811 4511326.394840905, 583473.9701957981 4511328.725894941, 583473.9463809067 4511330.816037344, 583479.1472490679 4511367.39240312, 583480.4986728848 4511369.17137514, 583482.5134357723 4511370.109122177, 583485.1233338525 4511370.334725191, 583580.6519351908 4511358.12745023, 583611.9749017059 4511473.719509537, 583637.9858680129 4511475.704001182, 583650.0705246774 4511518.679553411, 583516.4758595848 4511589.514413754, 583525.619389847 4511622.78927219, 583658.4648255816 4511549.539897926, 583682.3751314483 4511636.253485587, 583680.1994645644 4511640.568731989, 583685.406136002 4511658.646556025, 583689.2919266511 4511661.397227593, 583696.4587953503 4511687.127605075, 583700.8154251537 4511702.160556657, 583729.557806095 4511684.267469664, 583740.1508646401 4511677.67285812, 583747.7706616592 4511672.9658664195, 583756.0302421812 4511668.961041557, 583942.9359957092 4511568.189897477, 584138.8826326116 4511462.819070485, 584184.5244840828 4511438.274960397)))"
6,150,"MULTIPOLYGON (((585313.2811826296 4508223.567724799, 585324.697688887 4508219.061858786, 585336.113228314 4508214.555981504, 585376.1409474903 4508200.651289982, 585440.6157932833 4508175.8425965905, 585509.477795847 4508149.44540515, 585576.556460031 4508123.627643092, 585526.7045859417 4507987.267900845, 585523.9364345577 4507979.878211917, 585520.663064627 4507969.799338606, 585513.5162854249 4507952.276083963, 585484.0814475667 4507880.104499873, 585481.0416779811 4507871.920647057, 585478.1449409119 4507864.121767654, 585444.1883104596 4507772.701310368, 585377.2639117035 4507801.123147562, 585309.7332430028 4507829.581240685, 585245.8660513628 4507854.229885673, 585205.7060727288 4507869.572805938, 585194.8522129201 4507873.747084395, 585184.7915566212 4507877.616591471, 585117.0913491804 4507903.5811470505, 585042.9632813775 4507932.0440413365, 584980.7258343984 4507955.977311744, 584897.5623001313 4507989.76897838, 584930.8466154267 4508101.1359200105, 584944.1925550771 4508145.076201697, 584949.6178727577 4508162.938502562, 584957.382989994 4508188.744918429, 584959.9093742407 4508197.376773225, 584976.4574982858 4508254.317003644, 584979.8692396834 4508266.0564401, 585001.6714209308 4508343.54643201, 585007.4836942961 4508341.3148576375, 585069.282002039 4508317.911725104, 585111.1313253209 4508302.062177061, 585173.2031656675 4508278.273074045, 585247.5422827726 4508250.073658769, 585313.2811826296 4508223.567724799)))"
18,149,"MULTIPOLYGON (((583784.1972703894 4508559.117891227, 583782.2772845101 4508538.704166492, 583780.0089825593 4508521.662449623, 583778.5896503928 4508512.412620971, 583768.2493253555 4508439.8066126425, 583759.3456086062 4508366.407151175, 583750.6079942444 4508294.733580334, 583740.8749463755 4508215.5082653, 583732.1702135485 4508142.443038438, 583723.2239433227 4508069.528153877, 583719.5121593267 4508039.828120875, 583713.8816690199 4507996.706651063, 583709.0003644226 4507955.0483018905, 583706.3739571663 4507933.310666427, 583704.4128939888 4507917.0804150505, 583699.944612026 4507880.676516013, 583695.0113360576 4507843.671412537, 583691.0637539984 4507805.438991709, 583684.3776557843 4507724.023838236, 583545.9332623828 4507804.321240193, 583535.4320946614 4507735.117691996, 583479.3439908995 4507767.686905272, 583399.9948380867 4507814.725447379, 583385.4673216562 4507823.426798948, 583388.8358476772 4507843.944166554, 583417.4982929216 4508019.0526118325, 583420.1433026966 4508037.5667091, 583407.4989194087 4508039.50331618, 583397.889425511 4508040.7486390965, 583385.4472859998 4508043.041468423, 583357.6104602723 4508047.1339251, 583359.1020638137 4508056.866464916, 583363.5352727437 4508086.945610855, 583363.3316585311 4508088.132397843, 583367.1408425508 4508114.230399852, 583320.9321768862 4508121.133520254, 583324.147991468 4508145.34710628, 583275.0157728692 4508152.141251495, 583274.5761719969 4508150.086231843, 583252.1919634605 4508152.939403387, 583252.0041541267 4508152.011446112, 583141.4500682869 4508168.144649193, 583141.4365159323 4508169.334753099, 583129.5797417401 4508171.051426132, 583129.6044403578 4508174.688787257, 583073.308970314 4508182.181744267, 583079.0175204779 4508221.1485092705, 583232.0269860284 4508199.183475896, 583314.7753900144 4508186.952752541, 583358.7189471787 4508180.5525942, 583366.7087383267 4508240.033448539, 583130.0256584126 4508274.943825535, 583135.7092955321 4508312.424648276, 583343.9843411976 4508282.622815886, 583347.4291141828 4508307.060675237, 583335.824232923 4508308.727189541, 583335.1594593913 4508306.709351136, 583303.5763205946 4508311.322622635, 583305.1493385544 4508319.069703359, 583309.7425168405 4508318.503054886, 583309.7693843257 4508317.535248053, 583335.6006765619 4508314.712744915, 583335.4226568895 4508312.925143523, 583347.7437543153 4508311.081577011, 583348.4146848518 4508316.048982461, 583396.1976440356 4508310.877570529, 583399.8258768944 4508341.624596246, 583409.28564791 4508409.211856189, 583420.2667459828 4508483.572275866, 583430.9541845127 4508555.944252311, 583441.1820406697 4508625.204378109, 583472.731286667 4508621.9778481275, 583485.5757940849 4508620.664125831, 583492.7673193968 4508619.936245108, 583502.880142628 4508618.767787253, 583509.568012745 4508665.75370152, 583511.6621299769 4508680.466343139, 583516.8524598917 4508716.931792974, 583525.792326934 4508774.078456121, 583526.0503110072 4508776.565881303, 583527.3129078058 4508788.740208906, 583536.6408901358 4508788.362478544, 583601.421417048 4508728.547206991, 583628.9213228058 4508700.64913833, 583664.2393336309 4508668.982526856, 583721.7450939235 4508616.315508305, 583727.9664932125 4508610.616864838, 583750.9031453845 4508589.610239633, 583769.9938943848 4508573.067741075, 583784.1972703894 4508559.117891227)))"
67,148,"MULTIPOLYGON (((585753.7259322106 4512039.107594723, 585714.2052774087 4511964.8081513, 585677.204116243 4511895.236149456, 585640.4710505501 4511826.092184277, 585602.5726309889 4511757.000904762, 585486.7075195628 4511819.569281853, 585361.290289129 4511887.440439361, 585119.5106857747 4512016.7774525415, 585157.1522021239 4512086.381666121, 585194.4320658098 4512155.705760621, 585231.6422032808 4512224.652181144, 585271.7619646321 4512299.0064873, 585388.3562399045 4512236.162740909, 585513.2029402556 4512168.870846856, 585559.4470527577 4512144.105883514, 585753.7259322106 4512039.107594723)))"
